"","family.ID","sample.ID","paternal.ID","maternal.ID","sex","affection"
"1","HG00096","HG00096",0,0,0,-9
"2","HG00097","HG00097",0,0,0,-9
"3","HG00099","HG00099",0,0,0,-9
"4","HG00100","HG00100",0,0,0,-9
"5","HG00101","HG00101",0,0,0,-9
"6","HG00102","HG00102",0,0,0,-9
"7","HG00103","HG00103",0,0,0,-9
"8","HG00104","HG00104",0,0,0,-9
"9","HG00106","HG00106",0,0,0,-9
"10","HG00108","HG00108",0,0,0,-9
"11","HG00109","HG00109",0,0,0,-9
"12","HG00110","HG00110",0,0,0,-9
"13","HG00111","HG00111",0,0,0,-9
"14","HG00112","HG00112",0,0,0,-9
"15","HG00113","HG00113",0,0,0,-9
"16","HG00114","HG00114",0,0,0,-9
"17","HG00116","HG00116",0,0,0,-9
"18","HG00117","HG00117",0,0,0,-9
"19","HG00118","HG00118",0,0,0,-9
"20","HG00119","HG00119",0,0,0,-9
"21","HG00120","HG00120",0,0,0,-9
"22","HG00121","HG00121",0,0,0,-9
"23","HG00122","HG00122",0,0,0,-9
"24","HG00123","HG00123",0,0,0,-9
"25","HG00124","HG00124",0,0,0,-9
"26","HG00125","HG00125",0,0,0,-9
"27","HG00126","HG00126",0,0,0,-9
"28","HG00127","HG00127",0,0,0,-9
"29","HG00128","HG00128",0,0,0,-9
"30","HG00129","HG00129",0,0,0,-9
"31","HG00130","HG00130",0,0,0,-9
"32","HG00131","HG00131",0,0,0,-9
"33","HG00133","HG00133",0,0,0,-9
"34","HG00134","HG00134",0,0,0,-9
"35","HG00135","HG00135",0,0,0,-9
"36","HG00136","HG00136",0,0,0,-9
"37","HG00137","HG00137",0,0,0,-9
"38","HG00138","HG00138",0,0,0,-9
"39","HG00139","HG00139",0,0,0,-9
"40","HG00140","HG00140",0,0,0,-9
"41","HG00141","HG00141",0,0,0,-9
"42","HG00142","HG00142",0,0,0,-9
"43","HG00143","HG00143",0,0,0,-9
"44","HG00146","HG00146",0,0,0,-9
"45","HG00148","HG00148",0,0,0,-9
"46","HG00149","HG00149",0,0,0,-9
"47","HG00150","HG00150",0,0,0,-9
"48","HG00151","HG00151",0,0,0,-9
"49","HG00152","HG00152",0,0,0,-9
"50","HG00154","HG00154",0,0,0,-9
"51","HG00155","HG00155",0,0,0,-9
"52","HG00156","HG00156",0,0,0,-9
"53","HG00158","HG00158",0,0,0,-9
"54","HG00159","HG00159",0,0,0,-9
"55","HG00160","HG00160",0,0,0,-9
"56","HG00171","HG00171",0,0,0,-9
"57","HG00173","HG00173",0,0,0,-9
"58","HG00174","HG00174",0,0,0,-9
"59","HG00176","HG00176",0,0,0,-9
"60","HG00177","HG00177",0,0,0,-9
"61","HG00178","HG00178",0,0,0,-9
"62","HG00179","HG00179",0,0,0,-9
"63","HG00180","HG00180",0,0,0,-9
"64","HG00182","HG00182",0,0,0,-9
"65","HG00183","HG00183",0,0,0,-9
"66","HG00185","HG00185",0,0,0,-9
"67","HG00186","HG00186",0,0,0,-9
"68","HG00187","HG00187",0,0,0,-9
"69","HG00188","HG00188",0,0,0,-9
"70","HG00189","HG00189",0,0,0,-9
"71","HG00190","HG00190",0,0,0,-9
"72","HG00231","HG00231",0,0,0,-9
"73","HG00232","HG00232",0,0,0,-9
"74","HG00233","HG00233",0,0,0,-9
"75","HG00234","HG00234",0,0,0,-9
"76","HG00235","HG00235",0,0,0,-9
"77","HG00236","HG00236",0,0,0,-9
"78","HG00237","HG00237",0,0,0,-9
"79","HG00238","HG00238",0,0,0,-9
"80","HG00239","HG00239",0,0,0,-9
"81","HG00240","HG00240",0,0,0,-9
"82","HG00242","HG00242",0,0,0,-9
"83","HG00243","HG00243",0,0,0,-9
"84","HG00244","HG00244",0,0,0,-9
"85","HG00245","HG00245",0,0,0,-9
"86","HG00246","HG00246",0,0,0,-9
